Scheme Name,Ministries/Departments,Description & Benefits,Tags
"""Grant to Subsidy for Raw Materials Procurement"" Component of the ""Development of Coir"" Scheme",Puducherry,"The ""Grant to Subsidy for Raw Materials Procurement"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to promote Coir Industries by providing a 15% subsidy on annual raw materials procurement, capped at ₹5,00,000 per annum per unit.","Business, Coir, Entrepreneur, Entrepreneurship, Grant, Subsidy"
"""Training in Silk"" Component of the ""Development of Silk"" Scheme",Puducherry,"The scheme aims to revamp the silk weaving industry and generate employment. It offers comprehensive one-year training to equip individuals with the necessary skills. The objective is to develop silk and silk-based industry, to train rural youth in silk weaving and to generate employment thereby.","Employment, Industry, Silk, Skill, Training, Youth"
Indira Gandhi National Disability Pension Scheme - Tamil Nadu,Tamil Nadu,"The 'Indira Gandhi National Disability Pension Scheme' is a state initiative by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. Its goal is to offer a ₹1,000 pension to individuals aged 18 and above. Eligibility criteria include a disability percentage of 80% or above.","BPL, Clothes, Disability, Meal, Pension, PwD"
Disability Pension (MBOCWWB),Meghalaya,"Under the scheme, the Board shall provide disability pension to a beneficiary who is permanently disabled due to paralysis, leprosy, T.B., accidents,etc. Additionally, workers will be eligible for an exgratia payment based on percentage of disability & subject to condition as may fixed by the Board.","Building Worker, Construction Worker, Disability, Labour, Pension"
Maternity Benefit (MBOCWWB),Meghalaya,"Under the scheme, financial assistance in the form of maternity benefits shall be provided to women construction workers registered under the Board during their maternity period.","Building Worker, Construction Worker, Financial Assistance, Labour, Maternity, Pregnancy, Woman"
Mukh‍yamantri Janakal‍yaan (Sambal 2.0) Yojana (Asangathit Karmakaar Man‍da),Madhya Pradesh,The Mukhyamantri Jan Kalyan (Sambal 2.0) Yojana is a initiative of Madhya Pradesh government. The scheme will provide much-needed social security to unorganized workers in the state and help them live a dignified life.,"Insurance, Labour, Provident Fund, Workers"
Indira Gandhi National Widow Pension Scheme - Tamil Nadu,Tamil Nadu,"'Indira Gandhi National Widow Pension Scheme' was launched by the Social Welfare and Women Empowerment Dept, Tamil Nadu. A pension of ₹1,000 is provided to destitute widows who are 40 years and above in age and belong to households below the poverty line.","BPL, Clothes, Meal, Pension, Widow, Women"
Sathiyavanimuthu Ammaiyar Ninaivu Free Supply of Sewing Machine Scheme,Tamil Nadu,"The 'Sathiyavanimuthu Ammaiyar Ninaivu Free Supply of Sewing Machine Scheme' was launched by the Social Welfare and Women Empowerment Department, Tamil Nadu. The scheme aims to provide sewing machines to destitute, deserted women/widows, differently abled men & women to increase self-employment.","Destitute, Differently Abled, Employment, EWS, Widow"
Indira Gandhi National Old Age Pension Scheme -Tamil Nadu,Tamil Nadu,"The 'Indira Gandhi National Old Age Pension Scheme' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. A pension of ₹1,000 is provided to destitute old age persons of 60 years and above belonging to households below the poverty line.","BPL, Clothes, Meal, Pension, Senior Citizen"
Antim Sans‍kar Yojana ​,Madhya Pradesh,"This scheme ""Antim Sanskar Yojana"" started by the Labor department of Madhya Pradesh to provide the financial assistance in the case of death.","Financial Assistance, Funeral, Labour Worker"
Assistance Scheme for Occupational Diseases (GBOCWWB),Gujarat,The “Assistance Scheme for Occupational Diseases” has been implemented by the Gujarat Building and Other Construction Worker’s Welfare Board (GBOCWWB) to provide financial assistance to registered construction workers for 15 types of occupational diseases and 23 types of serious injuries.,"Building Worker, Construction Worker, Financial Assistance, Free Medical Treatment, Injuries, Labour, Occupational Diseases"
Jagananna Videshi Vidya Deevena,Andhra Pradesh,"Launched on 11th July 2022, the scheme ""Jagananna Videshi Vidya Deevena"" or the ""Andhra Pradesh Overseas Study Scholarship"" is a scholarship scheme for studies in overseas universities. The scheme gets its name from Shri Jaganmohan Reddy, Hon'ble Chief Minister of Andhra Pradesh.","Financial Assistance, Higher Education, Scholarship For Students"
Education Assistance/Ph.D Scheme (GBOCWWB),Gujarat,"Under this scheme, financial assistance is provided once a year to any two children of a construction worker for the career development of bright and needy construction worker students seeking admission in the higher education courses of the state.","Building Worker, Construction Worker, Education Assistance, Labour, PhD, Scholarship, Student"
Specialized Treatment & Medical Assistance Scheme (PBAOCWWB),Puducherry,"The Puducherry Building and Other Construction Workers Welfare Board provides up upto ₹2,00,000/- for specialized medical treatment in Hospitals having tie-ups with Government General Hospitals. The amount for the medical treatment is credited through DBT into the bank account.","Accident, Construction, Disease, Hospital, Medical, Worker"
Higher Educational Finance Assistance Scheme (PBAOCWWB),Puducherry,"The ""Higher Educational Finance Assistance"" is a Welfare Scheme by the Puducherry Building and Other Construction Workers Welfare Board. Through this scheme, financial assistance is extended to the wards of the Construction Workers who get admission into higher education programs.","Construction, DBT, Education, Student, Worker"
Accident Medical Assistance Scheme (PBAOCWWB),Puducherry,"The ""Accident Medical Assistance"" is a Welfare Scheme by the Puducherry Building and Other Construction Workers Welfare Board, Labour Department. The Board may sanction an amount of ₹1,500/- per month to the Construction Worker who has met an accident and sustained fracture.","Accident, Construction, DBT, Financial Assistance, Labour, Medical, Worker"
Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme-II,Tamil Nadu,"The 'Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme's objective is to encourage widow remarriage and to rehabilitate widows by giving financial assistance.","Financial Assistance, Rehabilitate, Remarriage, Widow"
Refund of Contribution Scheme (PBAOCWWB),Puducherry,"The ""Puducherry Building and Other Construction Workers Welfare Board"" repays the amount of contribution paid by the deceased beneficiary to the nominee of the deceased member. The amount is credited within 7 days through Direct Benefit Transfer (DBT) into the bank account of the nominee.","Construction, DBT, Death, Refund, Worker"
Laxman Award / Rani Laxmi Bai Award Scheme,Uttar Pradesh,"The scheme “Laxman Award/Rani Laxmi Bai Award” was launched by the Department of Sports, Government of Uttar Pradesh to honor special sports personalities of the state. The Laxman award is to male sportspersons and the Rani Laxmi Bai award is given to female sportspersons.","Award, Financial Assistance, Sports, Sportsperson"
Winter Cropping & Development of Cultivable Land Scheme,Meghalaya,"The objectives of the scheme are to bring more areas under cultivation during the normally lean winter season under different crops other than paddy and increase production and productivity of various crops like cereals, pulses, oilseeds, and vegetables during the Rabi season.","Agriculture, Cultivation, Farmer, Free Distribution Of Inputs, Subsidy On Inputs, Technology Support, Training"
Go-Green Three Wheelers Scheme (GBOCWWB),Gujarat,"Under the scheme, a one-time subsidy will be provided on the purchase of battery-operated tricycle (e-rickshaw) vehicles to registered construction disabled workers. Also, assistance will be available for the amount of Registration Fee and Road Tax paid for the first time of the new Three-Wheeler.","Building Worker, Construction Worker, E-rickshaw, Labour, Person With Disability, PwD, Subsidy, Three Wheelers, Tricycle"
Educational Assistance (ANBOCWWB),Andaman and Nicobar Islands,This scheme provides educational assistance to the son or daughter of a registered construction worker who is studying in any class from Class I to Post Graduate Level/Professional Course.,"Building Worker, Construction Worker, Educational Assistance, Labour, Scholarship, Student"
Accidental Death Assistance Scheme (GBOCWWB),Gujarat,"Assistance shall be provided to the legal heirs of deceased construction workers, whether registered or unregistered with the Board, in the event of accidental death or permanent disability occurring during ongoing work at the construction site.","Accidental Death, Building Worker, Construction Worker, Financial Assistance, Heir, Permanent Disability"
Meghalaya Agriculture Response Vehicle Scheme,Meghalaya,"The scheme “Meghalaya Agriculture Response Vehicle Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya to provide Small Commercial Vehicles and pickups at each CD Block across Meghalaya with 50% financial aid from the Government of Meghalaya.","Agriculture, Entrepreneur, Farmer, Farmers Associations, Financial Aid, Response Vehicle"
